epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.813932,0.163492,1.784835,0.140741,0.001
2,1.787399,0.173016,1.771542,0.166667,0.001
3,1.780529,0.157937,1.771496,0.181481,0.001
4,1.772738,0.183333,1.765594,0.188889,0.001
5,1.768765,0.187302,1.765275,0.211111,0.001
6,1.764235,0.201587,1.759846,0.225926,0.001
7,1.759425,0.213492,1.749351,0.196296,0.001
8,1.751081,0.218254,1.739816,0.211111,0.001
9,1.732314,0.240476,1.726868,0.244444,0.001
10,1.705602,0.280952,1.693563,0.3,0.001
11,1.709712,0.269048,1.658242,0.340741,0.001
12,1.682417,0.28254,1.645833,0.318519,0.001
13,1.649656,0.294444,1.620441,0.311111,0.001
14,1.645675,0.304762,1.604533,0.351852,0.001
15,1.612167,0.298413,1.62895,0.285185,0.001
16,1.628731,0.310317,1.578129,0.362963,0.001
17,1.617703,0.296825,1.572113,0.385185,0.001
18,1.583757,0.330952,1.556821,0.377778,0.001
19,1.561288,0.334127,1.554425,0.348148,0.001
20,1.546002,0.342063,1.499306,0.418519,0.001
