epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.788565,0.176984,1.769518,0.174074,0.01
2,1.765063,0.194444,1.755043,0.196296,0.01
3,1.754048,0.21746,1.744566,0.311111,0.01
4,1.734725,0.228571,1.722981,0.244444,0.01
5,1.72112,0.248413,1.709231,0.314815,0.01
6,1.696531,0.276984,1.690673,0.288889,0.01
7,1.671867,0.288889,1.667556,0.285185,0.01
8,1.660219,0.311111,1.650305,0.311111,0.01
9,1.651663,0.315873,1.649409,0.274074,0.01
10,1.598066,0.338889,1.597035,0.314815,0.01
11,1.581026,0.343651,1.558089,0.414815,0.01
12,1.570085,0.325397,1.521638,0.42963,0.01
13,1.528211,0.357937,1.591437,0.318519,0.01
14,1.588567,0.35,1.525012,0.337037,0.01
15,1.497194,0.369048,1.475735,0.448148,0.01
16,1.524689,0.359524,1.652929,0.314815,0.01
17,1.558301,0.339683,1.477177,0.433333,0.01
18,1.51109,0.366667,1.440545,0.451852,0.01
19,1.481385,0.380952,1.494698,0.351852,0.01
20,1.46399,0.400794,1.442009,0.422222,0.01
