epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.830271,0.173016,1.778465,0.166667,0.0005
2,1.787848,0.172222,1.771435,0.174074,0.0005
3,1.80032,0.166667,1.774432,0.177778,0.0005
4,1.781429,0.173016,1.777765,0.222222,0.0005
5,1.769293,0.172222,1.766805,0.166667,0.0005
6,1.77986,0.195238,1.767763,0.2,0.0005
7,1.775291,0.203175,1.762272,0.181481,0.0005
8,1.774113,0.197619,1.765785,0.211111,0.0005
9,1.759871,0.203968,1.760896,0.240741,0.0005
10,1.762203,0.213492,1.755957,0.211111,0.0005
11,1.759852,0.219841,1.755867,0.266667,0.0005
12,1.751934,0.234127,1.746562,0.303704,0.0005
13,1.751795,0.230159,1.745143,0.325926,0.0005
14,1.749702,0.230952,1.735904,0.32963,0.0005
15,1.729639,0.257143,1.707865,0.322222,0.0005
16,1.704956,0.270635,1.689622,0.325926,0.0005
17,1.696076,0.271429,1.678358,0.318519,0.0005
18,1.692918,0.274603,1.660059,0.322222,0.0005
19,1.677824,0.285714,1.668972,0.322222,0.0005
20,1.672315,0.300794,1.62857,0.32963,0.0005
